Date,WIL5000,WIL5000:BofA_AAA,WIL5000:BofA_BBB,WIL5000:BofA_CCC,WIL5000:Gold
2015-11-18,0.9999999999952731,-0.13017840541055448,0.4122712097358155,0.6671165893229637,0.34181065932347465
2015-11-19,0.9999999999954986,-0.1319763672448807,0.40932989319820423,0.6567393852523772,0.33512538136215697
2015-11-20,0.9999999999955407,-0.13331109715065628,0.406141953122977,0.6446275724391632,0.3282035583105582
2015-11-23,0.999999999995837,-0.13509888165699,0.402903615056547,0.6326707541845549,0.31985251423073197
2015-11-24,0.9999999999959824,-0.13470768405936556,0.4008925932015406,0.6211764694290177,0.31368024238966474
2015-11-25,0.9999999999958767,-0.13426485569972924,0.39852743899582527,0.6088448212597394,0.30583026280145914
2015-11-27,0.9999999999955378,-0.13237014000299072,0.39937117145066126,0.598908927717264,0.2973126141338228
2015-11-30,0.9999999999954364,-0.13033446925542266,0.4016397309809874,0.5918874939354097,0.2912202928814638
2015-12-01,0.999999999995953,-0.12738921107210074,0.4009445013100161,0.5789418522031466,0.2816802852964074
2015-12-02,0.9999999999960324,-0.1257464749841206,0.40201768454905107,0.5719553297772418,0.27599918290930336
2015-12-03,0.9999999999958031,-0.12697144973998195,0.4025287532113343,0.5691184080569145,0.27682477084689716
2015-12-04,0.9999999999955138,-0.12740817804606921,0.40032053311948235,0.5590981818553585,0.2726853157708608
2015-12-07,0.9999999999950793,-0.13318584325259786,0.3980848893953589,0.551770189594704,0.27154555450329776
2015-12-08,0.9999999999950805,-0.13858036554302358,0.39730166736133,0.5460655539887604,0.2710371631694474
2015-12-09,0.9999999999953443,-0.1494155187344798,0.3954106426018001,0.5425009792887195,0.2709871654240469
2015-12-10,0.9999999999955984,-0.15953102861483814,0.3935919371208582,0.5379448962354004,0.2702326208831404
2015-12-11,0.9999999999961583,-0.17417520530168276,0.3960236417877037,0.5410961918481928,0.27550423925493894
2015-12-14,0.9999999999964306,-0.17828473617563168,0.4053078050574568,0.5444067609969921,0.28319542673202797
2015-12-15,0.9999999999962856,-0.17972117986370117,0.41090616950471043,0.5437439821089244,0.28868809576681764
2015-12-16,0.9999999999964546,-0.1818014818960892,0.41253150712656605,0.5364412639561806,0.28881225380545306
2015-12-17,0.999999999996454,-0.1900353929019223,0.414271332930973,0.5344197403230199,0.29082853638049905
2015-12-18,0.9999999999962551,-0.1996522674080827,0.4222294117142383,0.5394163994384951,0.2983197319548402
2015-12-21,0.9999999999960759,-0.20793060740923264,0.43193415942562324,0.5418903363207076,0.30361347964463603
2015-12-22,0.9999999999959397,-0.21509384641161042,0.43747996579339793,0.5405041144196354,0.30621960624727673
2015-12-23,0.9999999999961664,-0.2225317804952679,0.43846267959527707,0.5338602975533675,0.30456450337349783
2015-12-29,0.9999999999960559,-0.2317466948811163,0.43575401367607325,0.5249874462115443,0.30022578965203955
2015-12-30,0.999999999995892,-0.2403773100796831,0.43326864071912635,0.5190169736807647,0.29708258854846836
2016-01-04,0.9999999999957867,-0.2550338348276961,0.43538569691551005,0.5206434790650457,0.2977532845721906
2016-01-05,0.9999999999958434,-0.2687661865793233,0.43918838183377973,0.5221468811742416,0.2994592761443019
2016-01-06,0.9999999999957732,-0.28932221950312836,0.44416688867526843,0.5269984946016494,0.30149314325848725
2016-01-07,0.9999999999960366,-0.3177420259795552,0.448407257392282,0.5361861016703279,0.30109258309403986
2016-01-08,0.9999999999961422,-0.3497369355670318,0.45349884441087185,0.5463484484148429,0.3011364361216601
2016-01-11,0.999999999996213,-0.3758673941824878,0.46905011498456284,0.5578252531617537,0.30412124562135334
2016-01-12,0.9999999999961833,-0.40631441584757194,0.4765755502985742,0.5667906521518774,0.30847631333229897
2016-01-13,0.9999999999961896,-0.4422465406571942,0.482593496044904,0.5784029305246617,0.3131922871971253
2016-01-14,0.9999999999966851,-0.46828924711229963,0.491409029463286,0.5879174885129833,0.31650885695456726
2016-01-15,0.9999999999966949,-0.5002229885827175,0.5010058310674449,0.6001860822089644,0.31816855969989616
2016-01-19,0.9999999999965639,-0.5345633663180691,0.5126595108579326,0.611452692157337,0.3219454231268553
2016-01-20,0.9999999999968912,-0.5656658277867203,0.5328735702388964,0.6249461582324897,0.3199480295990186
